Sample #	Date	Start Time	Aerodynamic Diameter	0.542	0.583	0.626	0.673	0.723	0.777	0.835	0.898	0.965	1.037	1.114	1.197	1.286	1.382	1.486	1.596	1.715	1.843	1.981	2.129	2.288	2.458	2.642	2.839	3.051	3.278	3.523	3.786	4.068	4.371	4.698	5.048	5.425	5.829	6.264	6.732	7.234	7.774	8.354	8.977	9.647	10.37	11.14	11.97	12.86	13.82	14.86	15.96	17.15	18.43	19.81	Event 1	Event 3	Event 4	Dead Time	Inlet Pressure	Total Flow	Sheath Flow	Analog Input Voltage 0	Analog Input Voltage 1	Digital Input Level 0	Digital Input Level 1	Digital Input Level 2	Laser Power	Laser Current	Sheath Pump Voltage	Total Pump Voltage	Box Temperature	Avalanch Photo Diode Temperature	Avalanch Photo Diode Voltage	Status Flags	Median(µm)	Mean(µm)	Geo. Mean(µm)	Mode(µm)	Geo. Std. Dev.	Total Conc.
1	12/12/19	07:33:00	Raw Counts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	989.6	4.96	3.99	0	0	0	0	0	75	55.9	2.636	2.611	29.1	25.1	217	0000 0000 0000 0000	-1.#IND	-1.#IND	-1.#IND	0	-1.#IND	0(#/cm³)
2	12/12/19	07:33:06	Raw Counts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	989	4.96	3.99	0	0	0	0	0	75	56	2.628	2.611	29.1	25.1	217	0000 0000 0000 0000	-1.#IND	-1.#IND	-1.#IND	0	-1.#IND	0(#/cm³)
3	12/12/19	07:33:12	Raw Counts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	989.3	4.97	4	0	0	0	0	0	75	55.9	2.637	2.61	29.1	25.1	217	0000 0000 0000 0000	-1.#IND	-1.#IND	-1.#IND	0	-1.#IND	0(#/cm³)
4	12/12/19	07:33:18	Raw Counts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	989.3	4.97	4	0	0	0	0	0	75	55.9	2.639	2.61	29.1	25.1	217	0000 0000 0000 0000	-1.#IND	-1.#IND	-1.#IND	0	-1.#IND	0(#/cm³)
5	12/12/19	07:33:24	Raw Counts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	988.7	4.97	4	0	0	0	0	0	75	56	2.629	2.612	29.2	25.6	217	0000 0000 0000 0000	-1.#IND	-1.#IND	-1.#IND	0	-1.#IND	0(#/cm³)
6	12/12/19	07:33:30	Raw Counts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	989	4.97	4	0	0	0	0	0	75	56	2.637	2.611	29.2	25.6	217	0000 0000 0000 0000	2.13151	2.12875	2.12875	2.12875	1	0.0099998(#/cm³)
7	12/12/19	07:33:36	Raw Counts	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	989.3	4.96	4	0	0	0	0	0	75	56	2.636	2.61	29.2	25.6	217	0000 0000 0000 0000	0.89885	0.897687	0.897687	0.897687	1	0.0099998(#/cm³)
8	12/12/19	07:33:42	Raw Counts	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	988.7	4.97	4	0	0	0	0	0	75	56	2.622	2.611	29.2	25.6	217	0000 0000 0000 0000	0.627245	0.626434	0.626434	0.626434	1	0.0099998(#/cm³)
9	12/12/19	07:33:48	Raw Counts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	989	4.97	4	0	0	0	0	0	75	56	2.633	2.609	29.4	25.6	217	0000 0000 0000 0000	-1.#IND	-1.#IND	-1.#IND	0	-1.#IND	0(#/cm³)
10	12/12/19	07:33:54	Raw Counts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	989.3	4.97	4	0	0	0	0	0	75	56	2.633	2.608	29.4	25.6	217	0000 0000 0000 0000	-1.#IND	-1.#IND	-1.#IND	0	-1.#IND	0(#/cm³)
